index,dist_est,rtt_est,rtt_raw
1,1875,125,125
2,2040,136,136
3,1665,111,111
4,1920,128,128
5,1905,127,127
6,2025,135,135
7,1995,133,133
8,2115,141,141
9,1785,119,119
10,1875,125,125
11,1875,125,125
12,2040,136,136
13,2130,142,142
14,2175,145,145
15,2250,150,150
16,2280,152,152
17,2115,141,141
18,1770,118,118
19,2175,145,145
20,2400,160,160
21,2100,140,140
22,2445,163,163
23,2370,158,158
24,1740,116,116
25,2160,144,144
26,2145,143,143
27,1965,131,131
28,1710,114,114
29,1995,133,133
30,2235,149,149
31,2145,143,143
32,2130,142,142
33,1725,115,115
34,1290,86,86
35,1320,88,88
36,1425,95,95
37,1695,113,113
38,2085,139,139
39,2160,144,144
40,2010,134,134
41,2250,150,150
42,2070,138,138
43,2085,139,139
44,2280,152,152
45,1770,118,118
46,2400,160,160
47,1995,133,133
48,1935,129,129
49,2280,152,152
50,1620,108,108
51,1140,76,76
52,1605,107,107
53,1770,118,118
54,1965,131,131
55,1830,122,122
56,1500,100,100
57,1770,118,118
58,2115,141,141
59,2040,136,136
60,2130,142,142
61,1950,130,130
62,1785,119,119
63,2040,136,136
64,1980,132,132
65,1965,131,131
66,2010,134,134
67,1830,122,122
68,1875,125,125
69,2010,134,134
70,1830,122,122
71,1755,117,117
72,2160,144,144
73,1995,133,133
74,1545,103,103
75,1335,89,89
76,1410,94,94
77,1680,112,112
78,1800,120,120
79,1890,126,126
80,2100,140,140
81,1995,133,133
82,1845,123,123
83,2070,138,138
84,1935,129,129
85,1965,131,131
86,2145,143,143
87,1770,118,118
88,1935,129,129