id,idx,x,y,comment
9,8,10.473627,-4.045105,localization
8,7,10.197010,3.665844,localization
7,6,5.906242,1.653850,localization
6,5,6.071673,1.856514,localization
4,4,-7.756449,2.706479,localization
3,3,1.607217,4.342091,localization
2,2,3.000000,0.000000,localization
1,1,0.000000,0.000000,localization
9,8,10.560000,-1.340000,final
8,7,8.770000,1.940000,final
7,6,6.010000,-0.010000,final
6,5,5.970000,2.770000,final
4,4,-2.850000,2.470000,final
3,3,1.600000,4.340000,final
2,2,3.000000,0.000000,final
1,1,0.000000,0.000000,final
9,8,13.3,-2.9,real
8,7,11.5,2.4,real
7,6,8.4,0.0,real
6,5,7.7,3.6,real
4,4,-3.8,2.7,real
3,3,3.40000,5.0,real
2,2,4.0,0.000000,real
1,1,0.000000,0.000000,real